Id,Year,Mon,Res,solids,NTU,org_ml,MPN_100ml,MPN_100ml__1,LosR,Silica,Ca,Mg,Ca_Mg,NO3,NO3_USGS,Cl2,Na,SO4,K,pH,Alk,Hard,Nhard,C_USGSTemp,F_USGS,Temp,MD_Precip_inch_mon,MD_Temp_F
190711,1907,11,,,,,,,,,,,,0.516666667,,2.633333333,,,,,51.2,60.96666667,,,,,5.37,41.9
190712,1907,12,,,,,,,,,,,,0.607142857,,2.214285714,,,,,45.54285714,55.52857143,,,,,4.2,36.3
19072,1907,2,,,,,,,,,,,,1.33125,,2.296875,,,,,48.48484848,59.03125,,,,,2.48,27
19073,1907,3,,,,,,,,,,,,1.325,,1.85,,,,,36.94444444,45.9375,,,,,3.35,45.3
19074,1907,4,,,,,,,,,,,,1.155,,1.9625,,,,,49.8,57.1,,,,,3.35,45.9
19075,1907,5,,,,,,,,,,,,0.666666667,,1.775,,,,,48,52,,,,,4.56,57.3
19076,1907,6,,,,,,,,,,,,0.3675,,1.8875,,,,,46.75,58.575,,,,,5.81,64.3
19077,1907,7,,,,,,,,,,,,0.66,,2.84,,,,,57.79,63.03,,,,,4.15,74.2
19078,1907,8,,,,,,,,,,,,0.514285714,,2.071428571,,,,,70.12857143,78.37142857,,,,,4.46,70.9
19079,1907,9,,,,,,,,,,,,0.433333333,,1.8,,,,,81.33333333,87.16666667,,,,,6.44,67.6
19081,1908,1,,,,,,,,,,,,0.738888889,,1.833333333,,,,,43.48888889,49.38888889,,,,,3.36,32
190810,1908,10,,,,,,,,,,,,0.205,,2.575,,,,,96,108.475,,,,,2.36,56.8
190811,1908,11,,,,,,,,,,,,0.2,,2.85,,,,,69.7,100.3,,,,,0.97,43.7
190812,1908,12,,,,,,,,,,,,0.26,,3.64,,,,,80.94,103.4,,,,,3.23,35.3
19082,1908,2,,,,,,,,,,,,0.65,,2.275,,,,,47.9,54.0625,,,,,4.34,28.4
19083,1908,3,,,,,,,,,,,,0.48125,,1.225,,,,,38.325,44.9,,,,,3.22,44.9
19084,1908,4,,,,,,,,,,,,0.383333333,,2.216666667,,,,,54.63333333,65.75,,,,,2.31,53.4
19085,1908,5,,,,,,,,,,,,0.375,,1.5,,,,,39,43.3,,,,,6.2,62.7
19086,1908,6,,,,,,,,,,,,0.395,,1.86,,,,,66.04,71.86,,,,,2.16,69.9
19087,1908,7,,,,,,,,,,,,0.325,,1.9125,,,,,79.3125,90.0625,,,,,4.99,76.1
19088,1908,8,,,,,,,,,,,,0.433333333,,1.866666667,,,,,72.1,75.23333333,,,,,5.05,71.3
19089,1908,9,,,,,,,,,,,,0.266666667,,2.533333333,,,,,84.86666667,86.93333333,,,,,2.48,65.3
19091,1909,1,,,,,,,,,,,,0.207142857,,2.228571429,,,,,60.62857143,76.77142857,,,,,2.84,34.3
190910,1909,10,,,,,,,,,,,,0.121428571,,3.857142857,,,,,102.9857143,109.6428571,,,,,1.8,51
190911,1909,11,,,,,,,,,,,,0.151,,4.05,,,,,91.91,103.62,,,,,1.18,48.3
190912,1909,12,,,,,,,,,,,,0.2475,,4.2375,,,,,80.775,107.7,,,,,3.69,29.9
19092,1909,2,,,,,,,,,,,,0.471428571,,1.314285714,,,,,41.32857143,55.94285714,,,,,3.7,40.7
19093,1909,3,,,,,,,,,,,,0.605,,1.67,,,,,39.57,53.27,,,,,3.75,39.4
19094,1909,4,,,,,,,,,,,,0.31875,,1.7625,,,,,45.4625,60.3125,,,,,3.53,51.5
19095,1909,5,,,,,,,,,,,,0.275,,1.5125,,,,,48.4125,52.8625,,,,,3.57,61.5
19096,1909,6,,,,,,,,,,,,0.242857143,,1.42,,,,,44.94,48.28,,,,,5.12,71.3
19097,1909,7,,,,,,,,,,,,0.15,,1.4125,,,,,68,67.9375,,,,,1.63,72.7
19098,1909,8,,,,,,,,,,,,0.1,,2.03,,,,,90.45,95.74,,,,,3.15,71.3
19099,1909,9,,,,,,,,,,,,0.18,,3.4625,,,,,96.5875,102.125,,,,,3.47,64.8
19101,1910,1,,,,,,,,,,,,0.425,,3.116666667,,,,,56.41666667,82.98333333,,,,,4.54,31.3
191010,1910,10,,,,,,,,,,,,0.05,,4.6875,,,,,102.3,109.9375,,,,,3.23,58.4
191011,1910,11,,,,,,,,,,,,0.098,,4.65,,,,,98.85,113.8,,,,,2.09,39.1
191012,1910,12,,,,,,,,,,,,0.2925,,5.1,,,,,110.2375,114.4375,,,,,2.36,27.6
19102,1910,2,,,,,,,,,,,,,,,,,,,,,,,,,2.51,31.9
19103,1910,3,,,,,,,,,,,,,,,,,,,,,,,,,1.19,48.2
19104,1910,4,,,,,,,,,,,,,,,,,,,,,,,,,5.61,54.9
19105,1910,5,,,,,,,,,,,,0.265,,2.5,,,,,59.9,83.6,,,,,3,59.3
19106,1910,6,,,,,,,,,,,,0.15,,1.65,,,,,47.3125,64.475,,,,,5.8,67.2
19107,1910,7,,,,,,,,,,,,0.14625,,2.3625,,,,,70.1,89.125,,,,,2.53,75.5
19108,1910,8,,,,,,,,,,,,0.093,,3.03,,,,,88.44,96.06,,,,,2.83,71.9
19109,1910,9,,,,,,,,,,,,0.09875,,3.8875,,,,,98.825,105.25,,,,,1.97,68.8
19111,1911,1,,,,,,,,,,,,0.611428571,,3.75,,,,,51.07,65.58,,,,,4.11,36.1
191110,1911,10,,,,,,,,,,,,0.31,,3.14,,,,,53.9,53.16,,,,,3.5,55.7
191111,1911,11,,,,,,,,,,,,0.325,,3.35,,,,,48.375,51.1875,,,,,4.07,41.5
191112,1911,12,,,,,,,,,,,,0.4,,3.5625,,,,,48.375,50.68333333,,,,,3.71,39.2
19112,1911,2,,,,,,,,,,,,0.975,,3.3125,,,,,39.1125,51.425,,,,,2,34.4
19113,1911,3,,,,,,,,,,,,0.6125,,2.2625,,,,,38.375,45.725,,,,,2.59,39
19114,1911,4,,,,,,,,,,,,0.325,,2.5125,,,,,36.6,46.925,,,,,3.22,47.8
19115,1911,5,,,,,,,,,,,,0.171,,1.88,,,,,59.22,67.29,,,,,1.11,66.8
19116,1911,6,,,,,,,,,,,,0.25,,2.75,,,,,69.08333333,100.9666667,,,,,4.19,71
19117,1911,7,,,,,,,,,,,,0.22375,,2.928571429,,,,,68.1875,84.625,,,,,2.78,76.4
19118,1911,8,,,,,,,,,,,,0.14,,4.1,,,,,75.5,86.23,,,,,10.09,74.3
19119,1911,9,,,,,,,,,,,,0.525,,2.95,,,,,53.5,59.55,,,,,2.9,68.6
19121,1912,1,,,,,,,,,,,,0.55,,2.66,,,,,46.6,49.17777778,,,,,2.69,23.1
191210,1912,10,,,,,,,,,,,,0.82,,4.45,,,,,69.58,71.15,,,,,1.55,57.5
191211,1912,11,,,,,,,,,,,,0.675,,4.85,,,,,80.4375,96.8875,,,,,2.08,45.2
191212,1912,12,,,,,,,,,,,,0.4,,3.875,,,,,80.375,79.1,,,,,3.94,37.6
19122,1912,2,,,,,,,,,,,,0.625,,2.1375,,,,,45.375,43.05,,,,,2.6,28.4
19123,1912,3,,,,,,,,,,,,0.7375,,2.425,,,,,35.625,39.0125,,,,,6.78,38.7
19124,1912,4,,,,,,,,,,,,0.59,,2.41,,,,,48.6,47.24,,,,,2.74,53.6
19125,1912,5,,,,,,,,,,,,0.325,,1.825,,,,,41.5375,46.6625,,,,,4.14,63.4
19126,1912,6,,,,,,,,,,,,0.31875,,2.9125,,,,,69.475,76.0625,,,,,4.11,68.7
19127,1912,7,,,,,,,,,,,,0.62,,2.61,,,,,62.65,79.2,,,,,5.62,73.8
19128,1912,8,,,,,,,,,,,,0.65,,2.55,,,,,66.21666667,67.28333333,,,,,2.97,71.1
19129,1912,9,,,,,,,,,,,,0.425,,3.8,,,,,81.4125,82.8,,,,,6.15,68.5
19131,1913,1,,,,,,,,,,,,0.73,,3.6,,,,,31.7,52.74,,,,,3.29,40.9
191310,1913,10,,,,,,,,,,,,0.275,,4.725,,,,,71.8125,91.5125,,,,,4.59,57.4
191311,1913,11,,,,,,,,,,,,0.471428571,,3.85,,,,,53.625,86.9875,,,,,2.24,46.2
191312,1913,12,,,,,,,,,,,,1,,3.92,,,,,58.9,88.14,,,,,2.48,38.2
19132,1913,2,,,,,,,,,,,,0.7375,,4.275,,,,,54.6875,63.2125,,,,,1.52,33.2
19133,1913,3,,,,,,,,,,,,0.7375,,4.275,,,,,54.6875,63.2125,,,,,4.63,46.4
19134,1913,4,,,,,,,,,,,,0.62,,3.84,,,,,40.75,47.33,,,,,4.44,52.8
19135,1913,5,,,,,,,,,,,,0.825,,2.825,,,,,53.75,57.4875,,,,,4.33,61.9
19136,1913,6,,,,,,,,,,,,0.5875,,3.1875,,,,,57.375,56.7375,,,,,2.27,70.6
19137,1913,7,,,,,,,,,,,,0.5,,3.97,,,,,80.16,86.44,,,,,2.97,75.2
19138,1913,8,,,,,,,,,,,,0.25,,4.075,,,,,86,91.5875,,,,,3.95,72.6
19139,1913,9,,,,,,,,,,,,0.233333333,,3.54,,,,,93,103.72,,,,,2.75,65.9
19141,1914,1,,,,,,,,,,,,0.425,,3.65,,,,,47.625,70.6625,,,,,4.1,35.3
191410,1914,10,,,,,,,,,,,,0.3,,5.1875,,,,,81.3125,114.45,,,,,1.74,58.6
191411,1914,11,,,,,,,,,,,,0.166666667,,5.45,,,,,82.375,126.6,,,,,2.08,43.3
191412,1914,12,,,,,,,,,,,,0.47,,4.45,,,,,58.58,94.16,,,,,4.45,31
19142,1914,2,,,,,,,,,,,,0.3375,,3.775,,,,,46,65.325,,,,,2.93,27.4
19143,1914,3,,,,,,,,,,,,0.388888889,,3.68,,,,,42.05,57.63,,,,,2.44,37
19144,1914,4,,,,,,,,,,,,0.257142857,,3.2625,,,,,41,43.475,,,,,3.91,50.4
19145,1914,5,,,,,,,,,,,,0.225,,3.55,,,,,48,52.775,,,,,2.07,64.4
19146,1914,6,,,,,,,,,,,,0.13,,4.41,,,,,62.6,82.87,,,,,3.97,71.8
19147,1914,7,,,,,,,,,,,,0.2625,,4.45,,,,,61.1875,78.95,,,,,2.85,73.9
19148,1914,8,,,,,,,,,,,,0.2625,,4.70875,,,,,75.5,94.8875,,,,,4.91,74
19149,1914,9,,,,,,,,,,,,0.1625,,4.93,,,,,71.26,104.67,,,,,1.24,64
19151,1915,1,,,,,,,,,,,,0.6625,,3.6,,,,,33.75,55.775,,,,,6.12,33.1
191510,1915,10,,,,,,,,,,,,0.725,,3.9,,,,,60.5625,63.175,,,,,3.88,57.3
191511,1915,11,,,,,,,,,,,,0.45,,4.14,,,,,73,77.86,,,,,1.49,43.9
191512,1915,12,,,,,,,,,,,,0.4,,4.5,,,,,58.35714286,100.5,,,,,3.22,32.2
19152,1915,2,,,,,,,,,,,,0.6375,,3.575,,,,,37.9375,50.375,,,,,4.57,36.2
19153,1915,3,,,,,,,,,,,,0.216666667,,4.285714286,,,,,48.42857143,58.58571429,,,,,1.16,35.8
19154,1915,4,,,,,,,,,,,,0.357142857,,3.9125,,,,,66.375,69.55,,,,,1.57,55.8
19155,1915,5,,,,,,,,,,,,0.4,,4.35,,,,,65.625,74.475,,,,,3.84,60
19156,1915,6,,,,,,,,,,,,0.35,,3.4125,,,,,55.9375,60.35,,,,,5.09,67.9
19157,1915,7,,,,,,,,,,,,0.2625,,4.45,,,,,84.3125,90.1875,,,,,3.44,73.8
19158,1915,8,,,,,,,,,,,,0.4,,4.45,,,,,63.15,68.8,,,,,8.34,72
19159,1915,9,,,,,,,,,,,,0.4,,4.1375,,,,,64.25,69.5125,,,,,2.34,68.6
19161,1916,1,,,,,,,,,,,,0.475,,3.9125,,,,,42,56.35,,,,,1.85,37.3
191610,1916,10,,,,,,,,,,,,0.116666667,,5.4,,,,,78.97,85.54,,,,,1.97,54.9
191611,1916,11,,,,,,,,,,,,0.171428571,,5.6125,,,,,82.1875,100.2,,,,,2.22,44.1
191612,1916,12,,,,,,,,,,,,0.1875,,5.175,,,,,70.125,87.35,,,,,3.68,32.8
19162,1916,2,,,,,,,,,,,,0.4375,,4.125,,,,,41.8125,48.9125,,,,,3.41,31
19163,1916,3,,,,,,,,,,,,0.5,,3.97,,,,,40.24,70.57,,,,,3.94,35.1
19164,1916,4,,,,,,,,,,,,0.5625,,3.75,,,,,45.625,47.9,,,,,3.12,50.3
19165,1916,5,,,,,,,,,,,,0.479,,3.28,,,,,59.9,57.48,,,,,3.62,63.9
19166,1916,6,,,,,,,,,,,,0.325,,4.0375,,,,,59.6875,60.1375,,,,,6.3,66.5
19167,1916,7,,,,,,,,,,,,0.28,,3.975,,,,,67,72.8625,,,,,5.68,75.5
19168,1916,8,,,,,,,,,,,,0.725,,4.48,,,,,72.15,79.32,,,,,2.45,73.7
19169,1916,9,,,,,,,,,,,,0.25625,,4.0125,,,,,71.3125,71.825,,,,,3.52,64.5
19171,1917,1,,,,,,,,,,,,0.271428571,,4.06,,,,,43.65,58.11,,,,,3.18,32.7
191710,1917,10,,,,,,,,,,,,,,5.3625,,,,,92.4375,107.7625,,,,,5.7,50.3
191711,1917,11,,,,,,,,,,,,0.30625,,4.2375,,,,,67.625,86.8125,,,,,0.61,40.3
191712,1917,12,,,,,,,,,,,,0.7625,,3.3,,,,,77.9375,81.625,,,,,1.64,25.8
19172,1917,2,,,,,,,,,,,,0.333333333,,3.966666667,,,,,49.66666667,63.48333333,,,,,2.27,30.7
19173,1917,3,,,,,,,,,,,,0.283333333,,3.5875,,,,,34.6875,49.2,,,,,5.41,40.3
19174,1917,4,,,,,,,,,,,,0.2,,3.0875,,,,,48.3125,58.7,,,,,2.42,51.3
19175,1917,5,,,,,,,,,,,,0.16,,3.731,,,,,66.3,70.64,,,,,3.03,56.5
19176,1917,6,,,,,,,,,,,,0.266666667,,3.175,,,,,44.5,49.725,,,,,4.11,69.6
19177,1917,7,,,,,,,,,,,,0.25,,4.346,,,,,75.15,83.16,,,,,6.67,74.4
19178,1917,8,,,,,,,,,,,,0.26,,4.1,,,,,73.0625,87.35,,,,,3.19,72.9
19179,1917,9,,,,,,,,,,,,0.4,,4.975,,,,,74.41666667,84.96666667,,,,,2.72,61.9
19181,1918,1,,,,,,,,,,,,0.54,,4.633,,,,,63.05,77.9,,,,,4.4,20.6
191810,1918,10,,,,,,,,,,,,0.31,,4.18,,,,,90.54,98.4,,,,,1.44,59.1
191811,1918,11,,,,,,,,,,,,0.457142857,,4.085714286,,,,,66.71428571,89.18571429,,,,,1.5,44.1
191812,1918,12,,,,,,,,,,,,0.6625,,3.65,,,,,47.625,72.25,,,,,4.38,39.7
19182,1918,2,,,,,,,,,,,,0.5,,3.56875,,,,,40.75,51.7875,,,,,1.64,32.7
19183,1918,3,,,,,,,,,,,,0.516666667,,3.033333333,,,,,48.25,61.41666667,,,,,3.66,44.8
19184,1918,4,,,,,,,,,,,,0.275,,2.92,,,,,46.7,57.44,,,,,5.93,49.9
19185,1918,5,,,,,,,,,,,,0.314285714,,3.56875,,,,,65.0625,73.05,,,,,3.81,67
19186,1918,6,,,,,,,,,,,,0.485714286,,3.8875,,,,,72.875,83.475,,,,,2.34,68.2
19187,1918,7,,,,,,,,,,,,0.54,,4.02,,,,,86.8,92.08,,,,,3.29,72
19188,1918,8,,,,,,,,,,,,0.6,,3.175,,,,,71,91.825,,,,,3.23,75.6
19189,1918,9,,,,,,,,,,,,0.6125,,3.65,,,,,70.5625,86.4,,,,,3.87,62.6
19191,1919,1,,,,,,,,,,,,0.79,,2.72,,,,,34.2,51.8,,,,,3.55,35.4
191910,1919,10,,,,,,,,,,,,0.45,,4.65,,,,,75.75,82.41,,,,,3.34,61.9
191911,1919,11,,,,,,,,,,,,0.55625,,3.625,,,,,50.75,64.6375,,,,,3.35,44.6
191912,1919,12,,,,,,,,,,,,0.61,,3.325,,,,,41.5,60.44,,,,,2.95,28.9
19192,1919,2,,,,,,,,,,,,0.825,,3.2,,,,,39.125,59.5,,,,,2.46,34.6
19193,1919,3,,,,,,,,,,,,0.825,,2.8625,,,,,30.75,49.7625,,,,,3.92,45
19194,1919,4,,,,,,,,,,,,0.49,,2.84,,,,,36.8,52.6,,,,,3.36,50.6
19195,1919,5,,,,,,,,,,,,0.5375,,3,,,,,28.25125,47.725,,,,,5.35,62.1
19196,1919,6,,,,,,,,,,,,0.8,,3.1125,,,,,36.4375,58.75,,,,,3.31,71.7
19197,1919,7,,,,,,,,,,,,0.68,,3.16,,,,,45.38,66.71,,,,,7.68,75.1
19198,1919,8,,,,,,,,,,,,0.44375,,3.6625,,,,,53.875,72.525,,,,,5.45,71.5
19199,1919,9,,,,,,,,,,,,0.3775,,3.73125,,,,,76.1875,76.8,,,,,2.43,67.5
19201,1920,1,,,,,,,,,,,,0.66875,,3.1875,,,,,43.5,56.1875,,,,,2.5,27.2
192010,1920,10,,,,,,,,,,,,0.3375,,2.78125,,,,,60.875,68.0375,,,,,0.85,59.7
192011,1920,11,,,,,,,,,,,,0.35,,3.96875,,,,,75.25,79.8375,,,,,3.89,43.5
192012,1920,12,,,,,,,,,,,,0.42,,4.275,,,,,72.7,76.14,,,,,3.47,36.6
19202,1920,2,,,,,,,,,,,,0.45,,2,,,,,29.125,49.3125,,,,,4.14,30.5
19203,1920,3,,,,,,,,,,,,0.57,,1.9,,,,,28.3,47.7,,,,,3.03,42.4
19204,1920,4,,,,,,,,,,,,0.55,,2.25,,,,,32.375,49.8375,,,,,4.8,49.7
19205,1920,5,,,,,,,,,,,,0.39375,,2.15625,,,,,42.75,57.1375,,,,,1.95,57.7
19206,1920,6,,,,,,,,,,,,0.365,,2.475,,,,,47,63.43,,,,,5.4,69.5
19207,1920,7,,,,,,,,,,,,0.471428571,,3.357142857,,,,,50,70.4,,,,,4.84,72.4
19208,1920,8,,,,,,,,,,,,0.3125,,4.03125,,,,,57.75,78.7375,,,,,6.96,73
19209,1920,9,,,,,,,,,,,,0.36875,,2.83125,,,,,58,66.9625,,,,,3.23,67.1
19211,1921,1,85,,,,,,,8,18,4,22,0.53125,,2.875,3.3,16,1.4,,46,58.7375,4.5,,,,2.35,34.9
192110,1921,10,125,,,,,,,4.6,29,6.7,35.7,0.7,,1.5,3.5,23,1.7,,32,45.7,2.8,,,,1.1,55.2
192111,1921,11,140,,,,,,,7.1,33,7.3,40.3,0.4,,1.5,3.9,28,1.7,,32,45.7,1.8,,,,4.42,45.9
192112,1921,12,93,,,,,,,,21,5,26,0.6125,,2.9125,2.8,23,1.2,,47.625,63.4,3.3,,,,2.59,35.5
19212,1921,2,86,,,,,,,9.3,18,4.1,22.1,0.49375,,2.875,2.5,16,1.3,,42.25,56.5875,2.9,,,,2.98,36.8
19213,1921,3,80,,,,,,,7.7,16,3.9,19.9,0.55,,2.25,2.1,16,1.2,,45,60,2.9,,,,2.42,52.8
19214,1921,4,94,,,,,,,7.1,21,4.8,25.8,0.475,,3.08125,2.9,17,1.5,,55.25,69.825,2.3,,,,3.15,56.9
19215,1921,5,83,,,,,,,7.2,18,4,22,0.6125,,2.275,2.2,15,1.6,,39.375,54.2875,2.9,,,,5.49,60.6
19216,1921,6,95,,,,,,,6,23,4.9,27.9,0.54,,2.875,2.5,16,1.3,,62.1,78.42,2.5,,,,2.5,71.7
19217,1921,7,118,,,,,,,6.4,27,6.1,33.1,0.6125,,3.21875,3,25,1.3,,63.5,87.3125,3,,,,4.49,77.1
19218,1921,8,115,,,,,,,4.9,25,5.9,30.9,0.56875,,3.175,3.6,22,1,,65.3,84.61,2.5,,,,3.75,70.8
19219,1921,9,123,,,,,,,6.3,29,7.3,36.3,0.44,,1.5,3.6,23,1.5,,32,45.7,1.4,,,,3.61,71.9
19221,1922,1,,,,,,,,,,,,0.585,,2.85,,,,,50.2,58.99,,,,,4.11,29.5
192210,1922,10,,,,,,,,,31.4,9.6,41,0.25,,4.8,,21.1,,8,81,,,,,63,1.95,57.8
192211,1922,11,152,,,,,,55,,33.6,,,0.21,,4.7,,17.1,,8,97,117,,,,49,0.66,45.4
192212,1922,12,189,,,,,,53,,36.5,6.2,42.7,0.25,,5.9,,24.7,,7.9,104,118,,,,38,3.86,35.6
19222,1922,2,,,,,,,,,,,,0.73125,,2.7875,,,,,43.14285714,55.9,,,,,3.28,36.3
19223,1922,3,,,,,,,,,,,,0.675,,2.71875,,,,,36,49.49,,,,,4.77,43.4
19224,1922,4,,,,,,,,,,,,0.73125,,3.3125,,,,,50.75,65.175,,,,,1.85,52.9
19225,1922,5,,,,,,,,,,,,0.335,,2.3,,,,,54.4,65.78,,,,,3.22,64
19226,1922,6,,,,,,,,,,,,0.58125,,3.625,,,,,65,65.7125,,,,,5.18,72.3
19227,1922,7,107,,,,,,36,,33.6,4.6,38.2,0.5,,5.0125,,19.7,,,69.875,73.2125,,,,80,6.06,74.3
19228,1922,8,121,,,,,,71,,27,3.3,30.3,,,,,16.8,,,,,,,,77,3.23,71.2
19229,1922,9,127,,,,,,43,,27,5.8,32.8,,,,,20.2,,8,,,,,,74,2.71,68
19231,1923,1,124,,,,,,39,,26.4,6.2,32.6,0.44,,3.8,,29.7,,7.6,97,91,,,,35,4.27,34.1
192310,1923,10,108,,,,,,38,,28,5.8,33.8,0.63,,4.4,,22.5,,7.8,89,100,,,,61,2.4,54.3
192311,1923,11,125,,,,,,43,,34,4.9,38.9,0.67,,6.1,,15.7,,7.8,85,79,,,,47,2.65,43
192312,1923,12,115,,,,,,26,,26,4.2,30.2,0.55,,5.4,,22.7,,7.4,55,74,,,,43,3.62,43.1
19232,1923,2,100,,,,,,30,,17.7,3.4,21.1,0.57,,2.8,,23.8,,7.4,52,58,,,,34,2.91,29.8
19233,1923,3,90,,,,,,29,,17.3,3.6,20.9,0.53,,3.2,,20.4,,7.4,38,58,,,,41,4.28,42.5
19234,1923,4,88,,,,,,26,,18.5,3,21.5,0.63,,3.2,,,,7.2,41,53,,,,52,4.17,50.5
19235,1923,5,138,,,,,,42,,21.2,2.4,23.6,0.65,,3.5,,18.4,,7.7,56,63,,,,64,1.97,60.3
19236,1923,6,109,,,,,,37,,24.2,4.7,28.9,0.55,,3.8,,20,,7.6,76,79,,,,76,3.09,73
19237,1923,7,100,,,,,,32,,27.8,3.9,31.7,0.33,,5,,24.3,,7.9,81,83,,,,79,4.66,73.5
19238,1923,8,94,,,,,,30,,27.7,6,33.7,0.53,,3.9,,24,,7.6,71,84,,,,77,3.16,72.3
19239,1923,9,120,,,,,,40,,25.4,4.3,29.7,0.66,,3.3,,27.2,,7.6,70,80,,,,72,3.58,67.6
19241,1924,1,88,,,,,,26,,17.2,1.4,18.6,0.5,,4,,20.4,,7.3,39,51,,,,36,4.22,32.8
192410,1924,10,118,,,,,,45,,28,2.9,30.9,0.6,,4.8,,21.2,,7.8,76,80,,,,60,0.42,55.4
192411,1924,11,119,,,,,,47,,30,3.1,33.1,0.54,,5.2,,22.7,,7.8,93,97,,,,49,1.82,43.6
192412,1924,12,122,,,,,,45,,28.4,3.1,31.5,0.65,,5.4,,14.3,,7.6,74,82,,,,37,2.35,34.4
19242,1924,2,84,,,,,,22,,17.2,3.4,20.6,0.55,,4.1,,22.2,,7.4,43,60,,,,35,3.59,31.4
19243,1924,3,78,,,,,,22,,17.2,3.3,20.5,0.65,,2.9,,19.9,,7.2,35,41,,,,40,5.04,39.9
19244,1924,4,81,,,,,,27,,15.9,1.5,17.4,0.66,,2.6,,23.2,,7.4,43,52,,,,51,4.97,48.9
19245,1924,5,86,,,,,,29,,19.5,1.8,21.3,0.57,,3.2,,22.7,,7.5,49,59,,,,61,6.63,57.9
19246,1924,6,91,,,,,,30,,20.4,1.6,22,0.55,,4.1,,23.6,,7.5,52,67,,,,71,5.26,68.8
19247,1924,7,108,,,,,,38,,24.1,2.5,26.6,0.62,,4.3,,24.7,,7.8,68,75,,,,77,2.45,72.5
19248,1924,8,123,,,,,,46,,28,4.1,32.1,0.57,,5.5,,18.6,,7.7,85,99,,,,78,4.06,72.9
19249,1924,9,137,,,,,,50,,33.2,4.8,38,0.67,,6,,,,7.9,97,110,,,,69,6.28,62.3
19251,1925,1,115,,,,,,45,,26,1.9,27.9,0.64,,4.9,,15.2,,7.9,63,71,,,,34,4.76,30.3
192510,1925,10,,,,,,,,,,,,0.5,,5.6,,,,7.8,,88,,,,58,5.53,50.5
192511,1925,11,,,,,,,,,,,,0.59,,3.7,,,,7.4,,62,,,,42,3.17,42
192512,1925,12,,,,,,,,,,,,0.59,,4.8,,,,7.8,,59,,,,38,1.87,34.6
19252,1925,2,94,,,,,,35,,19.5,1.3,20.8,0.61,,3.7,,17,,,38,43,,,,35,1.61,39.9
19253,1925,3,102,,,,,,42,,18.5,1.4,19.9,0.53,,4.4,,20.7,,7.7,54,54,,,,45,2.28,44
19254,1925,4,100,,,,,,44,,20,1.1,21.1,0.58,,4.7,,21.4,,7.8,52,64,,,,56,2.5,54.1
19255,1925,5,104,,,,,,45,,19.6,1.3,20.9,0.45,,3.6,,22.2,,7.5,44,47,,,,63,1.99,58
